Country,Very + Fairly connected,Very connected,Fairly connected,A Little connected,Not at all connected
Mongolia,95%,49%,46%,4%,1%
Kosovo,93%,57%,36%,6%,1%
Taiwan (Province of China),92%,43%,49%,6%,2%
Slovenia,91%,42%,49%,8%,1%
Sweden,90%,33%,57%,8%,2%
Iceland,89%,50%,39%,10%,1%
Japan,89%,26%,63%,8%,2%
Israel,89%,43%,45%,9%,2%
Austria,89%,45%,43%,8%,4%
Netherlands,88%,39%,49%,9%,2%
Egypt,88%,44%,44%,10%,2%
Greece,87%,30%,57%,11%,1%
Bosnia and Herzegovina,87%,33%,54%,11%,1%
Bangladesh,86%,25%,61%,11%,2%
Denmark,86%,47%,39%,11%,3%
Vietnam,86%,37%,49%,12%,2%
Cyprus,86%,55%,30%,12%,3%
Hungary,86%,48%,38%,11%,4%
Montenegro,85%,38%,48%,12%,2%
United Kingdom,85%,47%,38%,11%,3%
Nigeria,85%,56%,30%,13%,2%
Albania,85%,47%,38%,11%,4%
Czech Republic,85%,31%,54%,12%,3%
Norway,85%,40%,44%,13%,3%
Ethiopia,84%,49%,36%,11%,4%
Senegal,84%,56%,28%,13%,3%
Germany,84%,49%,35%,12%,3%
Nepal,84%,16%,67%,12%,3%
Serbia,84%,37%,47%,13%,2%
Portugal,83%,58%,26%,13%,2%
Switzerland,83%,41%,42%,12%,4%
Australia,83%,44%,39%,14%,3%
Tanzania,83%,44%,39%,12%,4%
Bulgaria,83%,35%,48%,13%,2%
The Gambia,83%,63%,20%,13%,3%
Tajikistan,83%,48%,35%,13%,2%
Ireland,82%,49%,33%,14%,4%
Uzbekistan,82%,22%,61%,14%,2%
Niger,82%,46%,36%,11%,6%
France,81%,34%,47%,13%,6%
South Africa,81%,51%,30%,14%,4%
Finland,81%,33%,48%,18%,2%
North Macedonia,81%,25%,56%,18%,2%
Sri Lanka,81%,46%,34%,14%,4%
Kyrgyzstan,80%,22%,58%,14%,4%
Philippines,80%,38%,42%,14%,6%
Romania,80%,35%,45%,16%,3%
Italy,80%,28%,52%,12%,7%
Ukraine,80%,20%,60%,16%,2%
Estonia,79%,22%,58%,18%,2%
Uruguay,79%,48%,32%,16%,5%
Zimbabwe,79%,31%,49%,18%,3%
New Zealand,79%,41%,38%,16%,5%
Uganda,79%,42%,37%,16%,5%
Mauritius,79%,45%,34%,17%,4%
Canada,79%,35%,43%,16%,5%
Chile,78%,43%,35%,16%,6%
United States,78%,47%,31%,18%,5%
Ghana,78%,40%,38%,19%,3%
Belgium,78%,29%,49%,18%,4%
Indonesia,77%,26%,52%,10%,11%
Lebanon,77%,34%,43%,19%,4%
Botswana,77%,33%,44%,17%,6%
Luxembourg,76%,30%,46%,18%,6%
Iran,76%,19%,57%,16%,8%
Kenya,76%,26%,50%,17%,7%
Zambia,76%,41%,35%,18%,6%
Croatia,75%,27%,49%,17%,6%
Puerto Rico,75%,55%,21%,20%,5%
Argentina,75%,43%,32%,20%,4%
Slovakia,75%,25%,50%,21%,3%
Poland,75%,28%,47%,21%,3%
Lesotho,75%,36%,39%,20%,4%
Eswatini,74%,36%,38%,21%,5%
Singapore,73%,30%,43%,21%,6%
Armenia,73%,37%,36%,22%,4%
Iraq,73%,46%,27%,16%,12%
Costa Rica,73%,44%,29%,20%,6%
South Korea,72%,27%,46%,24%,3%
Malta,72%,43%,29%,24%,3%
Spain,72%,27%,45%,24%,4%
Georgia,72%,21%,51%,23%,5%
Kazakhstan,71%,18%,53%,20%,7%
Algeria,71%,29%,42%,23%,5%
Myanmar,70%,20%,51%,22%,8%
Palestinian Territories,70%,32%,38%,18%,11%
Mexico,70%,34%,35%,21%,8%
Mauritania,69%,42%,27%,20%,10%
Latvia,69%,17%,53%,23%,7%
Liberia,69%,26%,44%,22%,9%
Sierra Leone,69%,45%,24%,24%,5%
Yemen,69%,34%,34%,23%,8%
Guinea,69%,42%,27%,21%,7%
Kuwait,69%,28%,40%,22%,9%
Lithuania,68%,13%,55%,18%,4%
Pakistan,68%,26%,42%,26%,6%
Venezuela,68%,37%,31%,26%,6%
Russia,68%,13%,54%,23%,4%
Mali,68%,38%,29%,26%,7%
Namibia,67%,32%,35%,23%,10%
Cambodia,66%,33%,33%,28%,5%
Colombia,66%,38%,28%,27%,6%
Chad,66%,28%,38%,22%,10%
Jordan,66%,34%,32%,23%,12%
India,65%,38%,27%,25%,9%
Libya,65%,41%,24%,23%,11%
Saudi Arabia,65%,31%,34%,23%,11%
Malaysia,64%,30%,35%,22%,12%
Comoros,64%,26%,39%,23%,13%
Thailand,64%,34%,30%,28%,6%
Côte d'Ivoire,63%,34%,29%,30%,6%
Jamaica,63%,34%,30%,24%,11%
Paraguay,63%,31%,32%,25%,10%
Moldova,63%,19%,44%,26%,8%
Afghanistan,62%,17%,45%,32%,5%
Honduras,62%,38%,24%,25%,11%
Democratic Republic of the Congo,62%,31%,31%,29%,8%
El Salvador,62%,39%,23%,27%,10%
Peru,61%,25%,36%,28%,10%
United Arab Emirates,61%,31%,30%,20%,19%
Togo,61%,20%,41%,28%,10%
Tunisia,60%,21%,39%,29%,10%
Ecuador,59%,29%,30%,30%,9%
Panama,59%,31%,28%,28%,12%
Cameroon,58%,26%,32%,34%,8%
Azerbaijan,57%,27%,30%,30%,10%
Guatemala,57%,28%,28%,29%,14%
Gabon,56%,29%,27%,36%,7%
Mozambique,56%,32%,24%,31%,12%
Laos,56%,45%,11%,28%,11%
Brazil,55%,27%,29%,38%,5%
Bolivia,55%,24%,31%,32%,11%
Türkiye,54%,15%,39%,37%,8%
Hong Kong (S.A.R. of China),53%,15%,39%,39%,7%
Nicaragua,52%,29%,23%,30%,15%
Malawi,51%,30%,20%,38%,12%
Madagascar,50%,30%,20%,38%,11%
Republic of the Congo,50%,27%,23%,30%,18%
Benin,49%,22%,27%,43%,8%
Morocco,49%,35%,13%,42%,8%
Northern Cyprus,48%,25%,23%,40%,11%
Dominican Republic,47%,31%,16%,36%,12%
