Country (Men),Men.Very + Fairly connected,Men.Very connected,Men.Fairly connected,Men.A Little connected,Men.Not at all connected,Country (Women),Women.Very connected,Women.Fairly connected,Women.A Little connected,Women.Not at all connected
Mongolia,96%,49%,47%,4%,1%, Mongolia,49%,45%,5%,1%
Kosovo,93%,55%,38%,6%,1%, Kosovo,60%,34%,6%,<1%
Taiwan (Province of China),92%,40%,52%,7%,1%, Sweden,37%,56%,7%,0%
Bosnia and Herzegovina,90%,36%,54%,8%,1%, Taiwan (Province of China),46%,46%,5%,2%
Slovenia,90%,39%,51%,9%,<1%, Slovenia,45%,47%,7%,1%
Iceland,89%,42%,47%,11%,0%, Netherlands,42%,50%,7%,1%
Cyprus,89%,52%,37%,9%,2%, Greece,30%,60%,9%,1%
Bangladesh,89%,28%,61%,9%,2%, Japan,30%,60%,7%,2%
Japan,88%,22%,66%,9%,2%, Iceland,59%,31%,8%,2%
Sweden,88%,30%,58%,8%,3%, Israel,50%,39%,8%,2%
Austria,87%,44%,44%,8%,5%, Austria,47%,43%,7%,3%
Israel,87%,36%,51%,10%,3%, Norway,46%,43%,9%,2%
United Kingdom,87%,48%,40%,10%,3%, Australia,53%,36%,10%,1%
Egypt,87%,44%,44%,11%,2%, Egypt,44%,44%,9%,3%
Vietnam,87%,37%,50%,10%,2%, Hungary,46%,41%,10%,3%
Montenegro,86%,39%,47%,11%,1%, Albania,49%,38%,10%,3%
Romania,86%,37%,48%,12%,2%, Denmark,53%,34%,11%,2%
Senegal,85%,58%,27%,11%,2%, Czech Republic,34%,53%,11%,2%
Denmark,85%,40%,44%,12%,3%, Nigeria,60%,26%,13%,1%
Netherlands,85%,37%,48%,12%,3%, Switzerland,46%,40%,10%,4%
The Gambia,85%,65%,20%,13%,2%, Finland,40%,45%,14%,1%
Nepal,85%,19%,66%,13%,2%, Serbia,36%,49%,12%,2%
Kyrgyzstan,85%,22%,62%,12%,3%, Montenegro,36%,49%,13%,2%
Greece,85%,31%,53%,14%,1%, Vietnam,37%,48%,13%,2%
Sri Lanka,85%,45%,39%,11%,4%, Bosnia and Herzegovina,31%,54%,14%,1%
Ethiopia,84%,51%,33%,11%,5%, Ethiopia,46%,38%,12%,4%
Nigeria,84%,51%,34%,13%,3%, Germany,50%,34%,13%,2%
Tanzania,84%,46%,39%,12%,3%, New Zealand,47%,37%,13%,3%
Tajikistan,84%,52%,32%,11%,1%, Portugal,57%,27%,12%,3%
South Africa,84%,54%,30%,13%,3%, United Kingdom,47%,37%,12%,4%
Uzbekistan,84%,20%,64%,13%,1%, Bangladesh,23%,60%,13%,2%
Hungary,84%,49%,35%,12%,4%, Senegal,55%,28%,14%,3%
Germany,84%,49%,35%,11%,4%, Bulgaria,35%,48%,13%,3%
Niger,83%,47%,36%,12%,5%, Estonia,25%,58%,15%,2%
Portugal,83%,59%,24%,15%,1%, Cyprus,59%,24%,14%,3%
Czech Republic,83%,28%,55%,13%,3%, Ireland,49%,34%,13%,4%
Albania,83%,45%,37%,13%,4%, Nepal,14%,69%,10%,4%
Bulgaria,82%,35%,48%,14%,2%, Italy,25%,57%,9%,7%
Ireland,82%,49%,33%,14%,4%, France,34%,48%,13%,5%
Serbia,82%,37%,45%,14%,2%, Tanzania,42%,40%,12%,5%
Chile,81%,41%,40%,14%,5%, North Macedonia,27%,55%,17%,2%
Mauritius,81%,49%,32%,15%,4%, Niger,45%,36%,10%,7%
Zimbabwe,81%,30%,51%,17%,2%, Canada,40%,41%,15%,4%
Switzerland,81%,37%,44%,14%,5%, Uzbekistan,23%,58%,15%,3%
France,80%,34%,47%,12%,7%, Tajikistan,44%,37%,15%,2%
Uruguay,80%,45%,35%,15%,5%, Philippines,36%,45%,14%,5%
Norway,80%,35%,45%,17%,3%, The Gambia,61%,20%,13%,5%
North Macedonia,80%,23%,57%,18%,2%, Ukraine,19%,61%,15%,3%
Uganda,80%,42%,38%,15%,5%, Lebanon,39%,41%,17%,4%
Ukraine,80%,22%,58%,17%,2%, Indonesia,25%,54%,10%,9%
Philippines,79%,40%,39%,14%,6%, Belgium,33%,46%,17%,4%
Botswana,78%,33%,45%,16%,6%, Uganda,42%,36%,16%,6%
Italy,78%,31%,46%,15%,7%, Uruguay,50%,28%,16%,5%
Luxembourg,78%,28%,49%,18%,4%, South Africa,48%,30%,16%,5%
Ghana,78%,37%,40%,19%,3%, United States,51%,27%,17%,4%
Lesotho,77%,37%,40%,20%,1%, Zimbabwe,32%,47%,18%,3%
Kenya,77%,29%,48%,17%,6%, Croatia,36%,42%,15%,6%
United States,77%,42%,35%,18%,5%, Ghana,41%,36%,19%,4%
Australia,77%,36%,41%,17%,5%, Puerto Rico,50%,27%,19%,3%
Belgium,77%,25%,51%,20%,3%, Sri Lanka,47%,30%,17%,5%
Finland,76%,26%,50%,21%,2%, Mauritius,41%,36%,19%,3%
Canada,76%,30%,45%,18%,6%, Slovakia,26%,51%,19%,3%
Indonesia,76%,26%,49%,11%,12%, Iran,17%,60%,14%,9%
Afghanistan,75%,26%,50%,22%,3%, Argentina,46%,30%,19%,4%
Iran,75%,21%,55%,17%,7%, Poland,31%,45%,20%,3%
Estonia,75%,18%,58%,21%,2%, Iraq,52%,24%,13%,11%
Zambia,75%,39%,36%,18%,7%, Kyrgyzstan,21%,55%,16%,6%
Lebanon,75%,29%,45%,20%,5%, Zambia,43%,33%,18%,6%
New Zealand,74%,36%,38%,19%,7%, Botswana,33%,43%,18%,7%
Singapore,74%,29%,44%,19%,7%, Chile,44%,31%,18%,6%
Eswatini,74%,37%,37%,20%,6%, South Korea,27%,48%,22%,3%
Sierra Leone,74%,48%,25%,22%,3%, Kenya,23%,52%,18%,7%
Argentina,73%,40%,33%,22%,5%, Romania,33%,42%,19%,4%
Croatia,73%,17%,57%,18%,7%, Algeria,36%,38%,21%,4%
Puerto Rico,73%,60%,13%,20%,7%, Luxembourg,31%,43%,18%,7%
Slovakia,73%,24%,49%,22%,4%, Malta,47%,27%,24%,2%
Costa Rica,73%,44%,28%,20%,7%, Eswatini,35%,39%,22%,4%
Armenia,73%,37%,36%,23%,4%, Spain,29%,44%,23%,2%
Poland,72%,24%,48%,23%,4%, Armenia,37%,36%,21%,5%
Georgia,72%,23%,49%,23%,4%, Singapore,31%,42%,22%,5%
Guinea,71%,46%,25%,20%,5%, Liberia,24%,49%,18%,9%
Myanmar,71%,23%,48%,19%,10%, Palestinian Territories,33%,39%,16%,12%
Malta,71%,40%,31%,24%,5%, Costa Rica,43%,30%,21%,6%
Kazakhstan,70%,16%,54%,18%,7%, Lesotho,35%,38%,21%,6%
Thailand,70%,36%,34%,23%,5%, Yemen,43%,29%,19%,8%
Pakistan,70%,24%,46%,26%,4%, Georgia,19%,52%,23%,5%
South Korea,70%,27%,43%,27%,3%, Kazakhstan,18%,52%,21%,7%
Latvia,70%,17%,53%,22%,6%, Mexico,33%,38%,23%,6%
Spain,70%,25%,45%,24%,5%, Mauritania,45%,25%,18%,11%
Iraq,69%,40%,30%,18%,12%, Lithuania,17%,53%,17%,4%
Kuwait,69%,31%,38%,23%,7%, Russia,15%,54%,21%,4%
Mexico,69%,36%,33%,19%,10%, Jordan,39%,31%,20%,9%
Colombia,69%,38%,32%,25%,5%, Myanmar,16%,54%,25%,5%
Mali,69%,39%,30%,24%,7%, Latvia,16%,53%,23%,7%
Côte d'Ivoire,69%,40%,29%,24%,6%, Libya,43%,26%,22%,9%
Venezuela,69%,38%,30%,25%,6%, Cambodia,32%,35%,25%,7%
El Salvador,69%,44%,24%,22%,8%, Kuwait,24%,44%,21%,12%
Mauritania,69%,39%,30%,22%,9%, Venezuela,36%,31%,27%,5%
Namibia,68%,34%,35%,22%,9%, Tunisia,29%,37%,27%,6%
Comoros,68%,27%,41%,21%,11%, Mali,38%,28%,27%,7%
Moldova,68%,19%,49%,24%,5%, United Arab Emirates,36%,30%,16%,18%
Palestinian Territories,68%,31%,37%,21%,11%, Pakistan,28%,38%,25%,9%
Chad,68%,28%,40%,22%,7%, Guinea,38%,28%,21%,8%
Algeria,67%,22%,45%,26%,7%, Saudi Arabia,32%,33%,24%,11%
Malaysia,67%,29%,38%,21%,11%, Namibia,30%,35%,24%,10%
India,66%,38%,28%,25%,8%, Chad,28%,37%,21%,13%
Lithuania,66%,9%,57%,19%,3%, Sierra Leone,41%,23%,26%,7%
Yemen,66%,26%,40%,26%,8%, Jamaica,34%,30%,26%,9%
Liberia,66%,28%,38%,26%,9%, India,39%,25%,25%,11%
Peru,65%,28%,38%,26%,9%, Colombia,39%,24%,29%,7%
Ecuador,65%,32%,33%,27%,7%, Malaysia,30%,32%,22%,13%
Cambodia,65%,34%,31%,31%,4%, Democratic Republic of the Congo,28%,34%,30%,7%
Russia,65%,11%,54%,26%,5%, Paraguay,31%,31%,28%,10%
Honduras,65%,39%,26%,23%,10%, Comoros,24%,36%,25%,14%
Paraguay,65%,32%,33%,23%,10%, Honduras,37%,23%,26%,12%
Saudi Arabia,64%,29%,35%,22%,12%, Cameroon,25%,35%,33%,7%
