Country,Very + Fairly Lonely,Very Lonely,Fairly Lonely,A Little Lonely,Not At All Lonely
Lesotho,58%,26%,32%,14%,27%
Philippines,57%,14%,43%,19%,21%
Uganda,53%,18%,35%,25%,22%
Botswana,50%,18%,32%,25%,25%
Afghanistan,50%,13%,37%,37%,13%
Namibia,47%,20%,28%,28%,23%
The Gambia,47%,20%,27%,26%,27%
Kenya,47%,9%,38%,25%,28%
Madagascar,46%,11%,34%,21%,32%
Liberia,45%,16%,28%,23%,32%
Zimbabwe,44%,13%,31%,35%,21%
Nepal,43%,7%,36%,26%,30%
Niger,43%,11%,32%,16%,39%
Mauritania,42%,15%,27%,26%,31%
Malawi,42%,20%,21%,32%,26%
Sierra Leone,41%,23%,19%,21%,34%
Pakistan,41%,10%,31%,30%,29%
Senegal,41%,11%,29%,24%,35%
Comoros,40%,10%,30%,24%,34%
Chad,40%,13%,27%,20%,37%
South Africa,39%,16%,22%,26%,35%
Bangladesh,39%,11%,27%,20%,40%
Eswatini,38%,17%,21%,31%,31%
Ghana,37%,12%,25%,30%,32%
Tanzania,36%,8%,28%,19%,45%
Ethiopia,36%,13%,23%,20%,44%
Iraq,36%,19%,17%,20%,44%
Algeria,35%,6%,29%,28%,37%
Iran,33%,10%,23%,20%,47%
Zambia,32%,10%,23%,33%,35%
Benin,31%,13%,18%,40%,28%
Kuwait,31%,7%,24%,23%,45%
Bolivia,31%,8%,22%,39%,28%
Chile,30%,9%,21%,27%,43%
Montenegro,30%,4%,26%,22%,47%
India,30%,14%,15%,28%,42%
Sri Lanka,29%,7%,22%,24%,48%
United Arab Emirates,28%,14%,15%,23%,49%
Togo,28%,9%,19%,38%,34%
Argentina,28%,9%,19%,27%,45%
Guinea,27%,11%,16%,28%,38%
Cambodia,27%,8%,20%,40%,32%
Nigeria,27%,9%,17%,24%,49%
Libya,26%,12%,14%,20%,54%
Tajikistan,26%,4%,23%,12%,60%
Albania,26%,6%,20%,23%,51%
Jordan,26%,9%,16%,24%,50%
Republic of the Congo,25%,12%,14%,35%,35%
Guatemala,25%,7%,18%,29%,46%
Uruguay,25%,7%,17%,25%,50%
Mozambique,24%,15%,10%,38%,34%
