Country (Men),Men.Very + Fairly loneley,Men.Very lonely,Men.Fairly lonely,Men.A little lonely,Men.Not at all lonely,Country (Women),Women.Very + Fairly lonely,Women.Very lonely,Women.Fairly lonely,Women.A little lonely,Women.Not at all lonely
Lesotho,62%,26%,36%,13%,25%, Philippines,56%,16%,40%,22%,20%
Philippines,59%,12%,47%,17%,22%, Lesotho,55%,27%,29%,14%,29%
Botswana,53%,22%,30%,24%,23%, Afghanistan,55%,17%,38%,34%,10%
Uganda,53%,18%,35%,27%,20%, Uganda,53%,19%,34%,23%,23%
Namibia,48%,22%,26%,26%,25%, The Gambia,50%,23%,27%,26%,23%
Madagascar,47%,11%,36%,19%,32%, Liberia,50%,17%,33%,17%,32%
Kenya,46%,6%,40%,25%,29%, Botswana,48%,14%,33%,26%,26%
Mauritania,45%,14%,31%,28%,26%, Kenya,48%,11%,36%,25%,27%
Afghanistan,44%,8%,36%,40%,16%, Namibia,47%,18%,29%,30%,22%
Pakistan,44%,10%,34%,28%,28%, Nepal,46%,7%,39%,22%,31%
Zimbabwe,43%,13%,30%,37%,20%, Niger,46%,12%,34%,16%,35%
The Gambia,43%,15%,28%,26%,30%, Madagascar,45%,12%,33%,21%,32%
Malawi,43%,20%,23%,29%,28%, Chad,44%,14%,30%,17%,37%
Comoros,43%,9%,34%,23%,34%, Zimbabwe,44%,12%,32%,34%,22%
Eswatini,42%,20%,22%,28%,30%, Sierra Leone,41%,22%,19%,23%,32%
Sierra Leone,41%,23%,18%,18%,36%, Malawi,41%,21%,20%,35%,24%
Senegal,41%,11%,30%,25%,34%, Senegal,40%,11%,29%,23%,36%
Niger,40%,11%,29%,16%,43%, Iraq,40%,22%,18%,19%,41%
Nepal,40%,8%,32%,31%,29%, Mauritania,40%,16%,24%,23%,35%
Liberia,39%,16%,24%,29%,31%, Bangladesh,40%,11%,29%,20%,38%
South Africa,38%,18%,20%,25%,37%, South Africa,39%,15%,24%,26%,33%
Kuwait,37%,9%,28%,22%,40%, Ghana,38%,15%,24%,29%,32%
Bangladesh,37%,11%,26%,19%,42%, Comoros,38%,11%,27%,24%,34%
Tanzania,37%,8%,29%,20%,43%, Pakistan,38%,9%,29%,32%,30%
Ghana,36%,9%,26%,31%,33%, Ethiopia,36%,15%,21%,17%,47%
Ethiopia,35%,10%,26%,23%,41%, Tanzania,35%,9%,27%,17%,46%
Chad,35%,12%,23%,23%,38%, Eswatini,35%,15%,20%,33%,32%
Algeria,34%,4%,30%,29%,35%, Algeria,35%,8%,27%,26%,39%
Iran,34%,10%,24%,20%,46%, Zambia,32%,11%,22%,35%,33%
Zambia,33%,9%,24%,31%,36%, Benin,32%,14%,18%,38%,29%
