"id","label","unit","description","year","value","color","opacity","stroke","source_question_code","source_url","source_main_value","source_low_ci","source_high_ci","transform"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2011","71.5","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","28.5","27.2","29.7","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2013","70.1","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","29.9","28.3","31.6","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2015","70.1","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","29.9","28.0","31.8","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2017","68.5","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","31.5","29.6","33.4","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2019","63.3","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","36.7","35.1","38.3","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2021","57.7","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","42.3","41.0","43.7","inverse"
"mental_health","Mental Health","%","CDC YRBS Explorer national high school data: did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).","2023","60.3","#ff6f79","0.2","#ff6f79","H26","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999","39.7","37.7","41.7","inverse"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2011","31.4","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","31.4","30.1","32.7","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2013","31.7","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","31.7","30.2","33.2","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2015","27.3","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","27.3","25.1","29.6","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2017","25.4","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","25.4","24.0","26.9","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2019","22.1","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","22.1","20.6","23.7","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2021","22.7","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","22.7","21.6","24.0","direct"
"youth_health","Youth Health","%","CDC YRBS Explorer national high school data: got 8 or more hours of sleep on an average school night.","2023","23.2","#11c5a1","0.2","#11c5a1","H85","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H85&LocationId=XX&Yr=9999","23.2","21.4","25.1","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2011","49.5","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","49.5","47.4","51.5","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2013","47.3","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","47.3","45.3","49.2","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2015","48.6","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","48.6","46.0","51.2","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2017","46.5","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","46.5","43.5","49.5","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2019","44.1","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","44.1","41.9","46.3","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2021","45.3","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","45.3","43.3","47.3","direct"
"activity","Activity","%","CDC YRBS Explorer national high school data: physically active for 60+ minutes on 5 or more days.","2023","46.3","#56B4E9","0.2","#56B4E9","H76","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H76&LocationId=XX&Yr=9999","46.3","42.9","49.7","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2011","47.4","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","47.4","45.0","49.9","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2013","46.8","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","46.8","43.7","49.8","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2015","41.2","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","41.2","37.5","45.0","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2017","39.5","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","39.5","36.8","42.4","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2019","38.4","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","38.4","35.4","41.6","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2021","30","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","30.0","27.9","32.1","direct"
"romance","Romance","%","CDC YRBS Explorer national high school data: ever had sexual intercourse; used here as a romance/sexual-experience proxy, not a mental-health score.","2023","31.6","#F5A623","0.2","#F5A623","H56","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999","31.6","29.3","33.9","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2011","58.4","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","58.4","56.0","60.7","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2013","54","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","54.0","51.6","56.3","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2015","57.6","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","57.6","54.0","61.2","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2017","54.3","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","54.3","50.6","58.0","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2019","57.4","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","57.4","54.3","60.4","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2021","49.1","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","49.1","46.3","51.8","direct"
"team_belonging","Team","%","CDC YRBS Explorer national high school data: played on at least one sports team, used as a social participation proxy.","2023","51.9","#9b8cff","0.2","#9b8cff","H78","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H78&LocationId=XX&Yr=9999","51.9","48.9","54.9","direct"
"school_bond","School Bond","%","CDC YRBS Explorer national high school data: agreed they feel close to people at school, used as the closest available friendship/belonging proxy.","2021","61.5","#7bd88f","0.2","#7bd88f","QNCLOSE2PEOPLE","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=QNCLOSE2PEOPLE&LocationId=XX&Yr=9999","61.5","59.0","63.9","direct"
"school_bond","School Bond","%","CDC YRBS Explorer national high school data: agreed they feel close to people at school, used as the closest available friendship/belonging proxy.","2023","55.3","#7bd88f","0.2","#7bd88f","QNCLOSE2PEOPLE","https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=QNCLOSE2PEOPLE&LocationId=XX&Yr=9999","55.3","52.8","57.8","direct"
