id,label,unit,description,year,value,color,opacity,stroke,source,source_question_code,source_url,source_main_value,source_low_ci,source_high_ci,transform
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2000,30.654,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,30.654,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2002,29.52,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,29.52,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2004,29.656,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,29.656,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2006,28.794,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,28.794,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2008,25.23,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,25.23,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2010,26.838,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,26.838,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2012,28.679,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,28.679,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2014,25.769,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,25.769,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2016,23.264,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,23.264,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2018,23.748,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,23.748,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2021,19.551,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,19.551,,,weighted_gss
health_excellent,Health,%,GSS: share of adults reporting excellent health.,2022,19.562,#11c5a1,0.2,#11c5a1,GSS 1972-2024 cumulative release R3,HEALTH,https://gssdataexplorer.norc.org/variables/health/vshow,19.562,,,weighted_gss
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",1999,49.9,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,49.9,46.1,53.7,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2001,45.6,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,45.6,43.2,48.1,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2003,46.7,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,46.7,44.0,49.4,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2005,46.8,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,46.8,43.4,50.2,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2007,47.8,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,47.8,45.1,50.6,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2009,46.0,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,46.0,42.9,49.2,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2011,47.4,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,47.4,45.0,49.9,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2013,46.8,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,46.8,43.7,49.8,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2015,41.2,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,41.2,37.5,45.0,direct
